任务分配到的节点是: node04
系统分给我的显卡是: 4,5,6
/var/spool/slurmd/job04357/slurm_script: line 22: /public/home/zy/miniconda3/etc/profile.d/conda.sh: No such file or directory

CondaError: Run 'conda init' before 'conda activate'

W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] 
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] *****************************************
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] *****************************************
Train samples: 40550, Test samples: 10138
Train shapes: ε (40550, 2, 128, 128), X (40550, 1756, 2), Ez (40550, 1756), Ebz (40550, 2, 128, 128), Lambda (40550, 1)
Training:   0%|          | 0/1000 [00:00<?, ?it/s]Epoch 0, Total Loss: 0.18487376061649594, test Loss 0.07129041276260596
Training:  13%|█▎        | 128/1000 [22:16:18<152:46:22, 630.71s/it]Epoch 128, Total Loss: 0.003076560186335932, test Loss 0.0031931341725851747
Training:  13%|█▎        | 129/1000 [22:26:53<152:53:12, 631.91s/it]Epoch 129, Total Loss: 0.0030972693588717792, test Loss 0.0030936091117531005
Training:  13%|█▎        | 130/1000 [22:37:24<152:41:25, 631.82s/it]Epoch 130, Total Loss: 0.003080390247394162, test Loss 0.002995496487397583
Training:  13%|█▎        | 131/1000 [22:47:57<152:33:54, 632.03s/it]Epoch 131, Total Loss: 0.003090304747299799, test Loss 0.0029523398017722697
Training:  13%|█▎        | 132/1000 [22:58:29<152:22:31, 631.97s/it]Epoch 132, Total Loss: 0.0030374060456304325, test Loss 0.0029723573851138654
Training:  13%|█▎        | 133/1000 [23:09:07<152:38:29, 633.81s/it]Epoch 133, Total Loss: 0.0031107811380562023, test Loss 0.002991445268308156
Training:  13%|█▎        | 134/1000 [23:19:44<152:42:54, 634.84s/it]Epoch 134, Total Loss: 0.003093315879345006, test Loss 0.0030406028757367083
Training:  14%|█▎        | 135/1000 [23:30:20<152:37:57, 635.23s/it]Epoch 135, Total Loss: 0.0030512611366085695, test Loss 0.0030327563240881063
Training:  14%|█▎        | 136/1000 [23:40:56<152:31:20, 635.51s/it]Epoch 136, Total Loss: 0.003061499887122919, test Loss 0.003068708781497917
Training:  14%|█▎        | 137/1000 [23:51:34<152:30:02, 636.16s/it]Epoch 137, Total Loss: 0.0029752188905981486, test Loss 0.003102822892713729
Training:  14%|█▍        | 138/1000 [24:02:00<151:34:48, 633.05s/it]Epoch 138, Total Loss: 0.0030784357465613007, test Loss 0.0029800362477043923
Training:  14%|█▍        | 139/1000 [24:12:27<150:57:20, 631.17s/it]Epoch 139, Total Loss: 0.0029977114930698225, test Loss 0.0030907522147479408
Training:  14%|█▍        | 140/1000 [24:22:53<150:26:39, 629.77s/it]Epoch 140, Total Loss: 0.003003753234661103, test Loss 0.00308195169816706
Training:  14%|█▍        | 141/1000 [24:33:16<149:45:43, 627.64s/it]Epoch 141, Total Loss: 0.003042674678266669, test Loss 0.0031421226014093687
Training:  14%|█▍        | 142/1000 [24:43:36<149:02:02, 625.32s/it]Epoch 142, Total Loss: 0.0029591633099429397, test Loss 0.002917461955016512
Training:  14%|█▍        | 143/1000 [24:54:06<149:13:46, 626.87s/it]Epoch 143, Total Loss: 0.003014660926736346, test Loss 0.0030414522579921407
Training:  14%|█▍        | 144/1000 [25:04:34<149:07:25, 627.16s/it]Epoch 144, Total Loss: 0.003002200670085542, test Loss 0.0032118310150001574
Training:  14%|█▍        | 145/1000 [25:15:00<148:52:20, 626.83s/it]Epoch 145, Total Loss: 0.003010305066586311, test Loss 0.002900486133820747
Training:  15%|█▍        | 146/1000 [25:25:28<148:47:39, 627.24s/it]Epoch 146, Total Loss: 0.002967462984296614, test Loss 0.0031801714466103666
Training:  15%|█▍        | 147/1000 [25:35:54<148:31:49, 626.86s/it]Epoch 147, Total Loss: 0.0029410102604081963, test Loss 0.0028916131907130356
Training:  15%|█▍        | 148/1000 [25:46:14<147:50:37, 624.69s/it]Epoch 148, Total Loss: 0.002983640099856652, test Loss 0.0030902918621333693
Training:  15%|█▍        | 149/1000 [25:56:33<147:17:36, 623.10s/it]Epoch 149, Total Loss: 0.0029552813746759384, test Loss 0.002807722000926111
Training:  15%|█▌        | 150/1000 [26:06:52<146:50:36, 621.93s/it]Epoch 150, Total Loss: 0.0029392728910283324, test Loss 0.0031283802729129384
Training:  15%|█▌        | 151/1000 [26:17:12<146:29:23, 621.16s/it]Epoch 151, Total Loss: 0.0029453749659157044, test Loss 0.002892032199519051
Training:  15%|█▌        | 152/1000 [26:27:31<146:12:42, 620.71s/it]Epoch 152, Total Loss: 0.002931222371617361, test Loss 0.0028828454135983676
Training:  15%|█▌        | 153/1000 [26:37:51<145:57:59, 620.40s/it]Epoch 153, Total Loss: 0.002992945517464831, test Loss 0.0030127294955395643
Training:  15%|█▌        | 154/1000 [26:48:10<145:42:18, 620.02s/it]Epoch 154, Total Loss: 0.002936167916327809, test Loss 0.0030499143071963347
Training:  16%|█▌        | 155/1000 [26:58:30<145:29:24, 619.84s/it]Epoch 155, Total Loss: 0.0028653691779949113, test Loss 0.002848840324622058
Training:  16%|█▌        | 156/1000 [27:08:52<145:31:03, 620.69s/it]Epoch 156, Total Loss: 0.002975410418013764, test Loss 0.00320151600844444
Training:  16%|█▌        | 157/1000 [27:19:19<145:46:04, 622.50s/it]Epoch 157, Total Loss: 0.002914171201566467, test Loss 0.0027818880073400432
Training:  16%|█▌        | 158/1000 [27:29:46<145:52:55, 623.72s/it]Epoch 158, Total Loss: 0.0029094786671345677, test Loss 0.0028109645493325694
Training:  16%|█▌        | 159/1000 [27:40:11<145:48:07, 624.12s/it]Epoch 159, Total Loss: 0.0029255551342076847, test Loss 0.0028969102297379903
Training:  16%|█▌        | 160/1000 [27:50:39<145:54:29, 625.32s/it]Epoch 160, Total Loss: 0.002925817847338099, test Loss 0.002835117522026421
